date,salesperson,region,product,units,revenue
2026-01-21,Hamza,West,Product E,85,33878.64
2026-01-21,Fatima,South,Product F,36,15121.15
2026-01-21,Hamza,West,Product B,93,29423.57
2026-01-21,Sara,South,Product E,97,35696.22
2026-01-21,Bilal,East,Product F,45,17600.37
2026-01-22,Zara,West,Product F,45,17428.41
2026-01-22,Ayesha,Central,Product E,55,22044.12
2026-01-22,Ali,Central,Product E,55,19464.55
2026-01-22,Usman,North,Product D,14,3414.59
2026-01-24,Ayesha,East,Product A,34,9434.53
2026-01-24,Ahmed,West,Product B,96,28835.61
2026-01-25,Ayesha,North,Product D,61,12350.45
2026-01-25,Hamza,West,Product E,66,26040.89
2026-01-26,Hamza,South,Product E,87,29341.35
2026-01-26,Ahmed,Central,Product D,97,20667.78
2026-01-26,Hamza,South,Product F,34,11774.16
2026-01-26,Zara,West,Product E,72,22610.19
2026-01-27,Sara,West,Product C,10,2553.19
2026-01-28,Hamza,South,Product D,87,18862.65
2026-01-28,Ayesha,West,Product D,19,3855.32
2026-01-28,Ali,Central,Product C,19,6317.73
2026-01-28,Sara,North,Product D,98,20520.61
2026-01-29,Sara,Central,Product B,43,10828.74
2026-01-29,Ayesha,Central,Product B,7,1975.55
2026-01-29,Ayesha,North,Product C,56,15629.41
2026-01-29,Ayesha,East,Product B,41,12111.6
2026-01-30,Ahmed,West,Product D,6,1201.88
2026-01-30,Sara,West,Product C,70,22896.9
2026-01-30,Zara,Central,Product A,100,23602.04
2026-01-31,Sara,Central,Product B,73,21903.63
2026-01-31,Ahmed,East,Product A,10,2815.96
2026-01-31,Sara,West,Product A,41,9969.77
2026-02-01,Ayesha,South,Product B,56,15079.02
2026-02-02,Ahmed,West,Product C,58,16354.71
2026-02-02,Bilal,Central,Product F,14,5593.53
2026-02-03,Ahmed,East,Product E,86,30870.84
2026-02-04,Ali,West,Product A,72,15861.1
2026-02-04,Usman,East,Product F,89,34107.14
2026-02-04,Hina,West,Product F,43,18729.06
2026-02-04,Fatima,East,Product A,97,20621.82
2026-02-05,Hamza,South,Product A,54,15339.33
2026-02-06,Bilal,North,Product B,71,17477.22
2026-02-07,Fatima,South,Product D,25,5882.78
2026-02-07,Ali,West,Product C,94,24509.41
2026-02-07,Bilal,North,Product C,17,4637.05
2026-02-08,Sara,East,Product F,34,13423.55
2026-02-08,Ali,North,Product B,87,23946.6
2026-02-08,Bilal,Central,Product E,89,26784.97
2026-02-08,Hina,Central,Product A,11,2875.52
2026-02-08,Hina,East,Product B,47,15016.13
2026-02-09,Fatima,East,Product B,97,28178.77
2026-02-09,Bilal,East,Product B,83,21712.94
2026-02-09,Hamza,East,Product D,33,7295.66
2026-02-09,Fatima,West,Product B,67,20593.07
2026-02-10,Fatima,West,Product F,37,15898.18
2026-02-10,Zara,North,Product F,54,24390.84
2026-02-10,Hina,South,Product E,82,28431.05
2026-02-10,Ali,East,Product B,24,6818.39
2026-02-10,Hina,North,Product C,76,24465.39
2026-02-11,Ahmed,South,Product B,54,15999.76
2026-02-11,Zara,North,Product D,99,20619.05
2026-02-11,Ahmed,South,Product B,75,18322.91
2026-02-11,Hamza,West,Product E,95,31871.3
2026-02-11,Hina,North,Product C,55,16356.18
2026-02-12,Bilal,Central,Product E,57,18500.46
2026-02-12,Sara,East,Product E,24,7352.46
2026-02-13,Ahmed,Central,Product B,68,20483.77
2026-02-13,Ayesha,North,Product E,58,20947.47
2026-02-13,Bilal,South,Product F,99,44394.13
2026-02-14,Sara,East,Product D,96,22506.76
2026-02-15,Ayesha,West,Product F,99,41545.19
2026-02-15,Sara,North,Product C,52,17383.03
2026-02-15,Ayesha,West,Product B,57,17113.64
2026-02-16,Zara,Central,Product E,54,18688.58
2026-02-16,Ali,North,Product B,85,21372.27
2026-02-16,Ahmed,East,Product F,94,38765.25
2026-02-17,Fatima,East,Product B,19,5161.64
2026-02-17,Hina,East,Product A,73,17689.99
2026-02-17,Hina,South,Product E,74,28444.84
2026-02-17,Usman,Central,Product F,40,16934.58
2026-02-18,Hamza,South,Product F,55,19193.88
2026-02-18,Usman,South,Product D,49,11309.44
2026-02-18,Hamza,South,Product D,54,12526.66
2026-02-19,Fatima,South,Product E,12,4308.95
2026-02-20,Ali,Central,Product F,54,22623.33
2026-02-20,Fatima,South,Product B,9,2358.88
2026-02-20,Bilal,Central,Product D,64,15233.79
2026-02-20,Sara,West,Product B,93,24473.43
2026-02-20,Hamza,South,Product B,97,23383.83
2026-02-21,Hina,North,Product E,63,18844.02
2026-02-21,Fatima,East,Product E,38,12051.74
2026-02-21,Sara,Central,Product A,41,11379.99
2026-02-21,Zara,North,Product D,81,18739.64
2026-02-22,Ayesha,Central,Product C,75,21274.77
2026-02-22,Hamza,East,Product A,78,21012.19
2026-02-23,Zara,Central,Product B,24,7035.98
2026-02-23,Zara,East,Product B,10,2675.93
2026-02-23,Hamza,Central,Product A,41,9063.09
2026-02-24,Zara,East,Product F,63,26731.28
2026-02-24,Hina,South,Product E,30,11375.57
2026-02-24,Fatima,South,Product D,20,4093.06
2026-02-24,Sara,North,Product C,61,17530.95
2026-02-25,Ayesha,South,Product B,73,20124.9
2026-02-25,Ali,East,Product F,54,19857.97
2026-02-25,Hina,North,Product C,40,12506.14
2026-02-25,Ayesha,West,Product A,84,23420.68
2026-02-25,Usman,North,Product D,33,6605.67
2026-02-25,Usman,South,Product C,98,28216.16
2026-02-26,Zara,West,Product B,16,4855.68
2026-02-27,Zara,North,Product C,74,24353.06
2026-02-27,Ali,South,Product E,23,8940.54
2026-02-28,Hina,North,Product F,24,9595.32
2026-02-28,Hamza,East,Product F,48,16962.54
2026-03-01,Sara,North,Product A,22,5769.54
2026-03-01,Fatima,Central,Product D,79,17748.31
2026-03-02,Ahmed,East,Product B,98,23566.71
2026-03-02,Hina,North,Product F,79,32361.37
2026-03-02,Hamza,North,Product F,97,40177.59
2026-03-02,Ayesha,Central,Product D,57,10830.14
2026-03-02,Ayesha,West,Product C,97,25724.45
2026-03-03,Usman,South,Product D,14,2829.55
2026-03-03,Sara,Central,Product B,53,15536.27
2026-03-04,Ali,South,Product D,86,20588.17
2026-03-04,Fatima,Central,Product B,78,22337.26
2026-03-04,Hina,South,Product D,90,19984.92
2026-03-04,Hina,North,Product F,32,13344.15
2026-03-06,Ayesha,East,Product F,94,40417.06
2026-03-07,Ayesha,North,Product A,43,10630.69
2026-03-07,Sara,West,Product C,48,14649.83
2026-03-07,Sara,East,Product A,10,2831.71
2026-03-07,Hamza,Central,Product B,21,5761.14
2026-03-08,Bilal,South,Product F,61,24778.3
2026-03-08,Ahmed,North,Product B,18,5017.88
2026-03-08,Zara,North,Product C,76,21956.49
2026-03-09,Fatima,North,Product B,52,13620.82
2026-03-09,Bilal,West,Product F,67,23756.27
2026-03-09,Ahmed,Central,Product A,33,7637.17
2026-03-09,Zara,South,Product A,97,22576.38
2026-03-09,Sara,East,Product C,100,29239.53
2026-03-10,Fatima,West,Product C,29,7825.35
2026-03-10,Sara,East,Product C,72,21041.15
2026-03-10,Fatima,North,Product B,73,19784.24
2026-03-10,Bilal,North,Product A,100,25399.18
2026-03-10,Hamza,West,Product C,29,9506.0
2026-03-11,Ahmed,West,Product F,67,27999.41
2026-03-11,Bilal,East,Product E,93,29628.81
2026-03-11,Usman,East,Product D,62,15152.49
2026-03-11,Sara,West,Product A,42,9560.01
2026-03-11,Bilal,North,Product C,33,9053.02
2026-03-12,Bilal,East,Product E,36,11590.72
2026-03-12,Sara,Central,Product F,80,29497.11
2026-03-12,Usman,South,Product F,91,32499.96
2026-03-13,Fatima,Central,Product C,25,7259.15
2026-03-13,Ali,West,Product C,38,12791.64
2026-03-13,Hina,South,Product B,14,3937.1
2026-03-13,Sara,Central,Product A,80,19531.53
2026-03-13,Ayesha,South,Product A,77,18388.46
2026-03-13,Sara,Central,Product F,49,16975.74
2026-03-14,Ali,West,Product E,89,31400.44
2026-03-14,Bilal,Central,Product B,26,6343.59
2026-03-14,Sara,Central,Product C,14,4040.72
2026-03-14,Fatima,East,Product C,63,20511.81
2026-03-14,Fatima,East,Product F,94,39428.88
2026-03-15,Hamza,West,Product B,83,24239.35
2026-03-15,Usman,South,Product A,65,17622.44
2026-03-16,Ali,East,Product B,74,17812.82
2026-03-16,Ahmed,North,Product D,44,9126.84
2026-03-16,Ahmed,Central,Product C,27,7152.12
2026-03-17,Usman,North,Product B,62,19363.15
2026-03-17,Usman,South,Product A,44,10553.35
2026-03-18,Fatima,West,Product B,80,23967.28
2026-03-18,Hina,North,Product B,58,16238.04
2026-03-18,Bilal,West,Product B,73,20277.62
2026-03-18,Ahmed,Central,Product E,79,29793.24
2026-03-19,Hina,East,Product B,38,11541.83
2026-03-19,Ahmed,South,Product C,57,19599.29
2026-03-19,Sara,North,Product F,49,21412.1
2026-03-19,Ali,Central,Product A,28,7991.9
2026-03-20,Usman,South,Product F,54,20412.07
2026-03-20,Hina,North,Product A,15,3292.38
2026-03-20,Ahmed,South,Product F,84,36715.16
2026-03-21,Sara,East,Product A,69,18651.78
2026-03-21,Hina,Central,Product C,64,20835.78
2026-03-21,Ayesha,East,Product A,16,3855.91
2026-03-22,Bilal,North,Product A,84,21375.64
2026-03-22,Fatima,North,Product E,73,28988.53
2026-03-22,Bilal,North,Product E,91,33978.65
2026-03-23,Sara,West,Product E,66,25194.69
2026-03-24,Usman,North,Product A,23,5701.13
2026-03-24,Fatima,West,Product F,68,25471.86
2026-03-24,Hamza,Central,Product A,81,19181.75
2026-03-24,Ahmed,Central,Product A,78,17434.16
2026-03-25,Bilal,North,Product E,8,3160.27
2026-03-25,Hina,East,Product E,71,26959.67
2026-03-25,Ayesha,South,Product A,57,15380.9
2026-03-26,Bilal,Central,Product E,59,23526.73
2026-03-26,Ayesha,Central,Product B,75,18858.85
2026-03-26,Hina,North,Product D,51,11813.64
2026-03-27,Bilal,South,Product E,56,20184.22
2026-03-27,Sara,North,Product C,42,12433.4
2026-03-27,Zara,Central,Product F,96,33959.42
2026-03-27,Ayesha,Central,Product F,49,16979.44
2026-03-27,Ayesha,South,Product B,10,2735.63
2026-03-28,Hina,Central,Product F,68,27605.77
2026-03-28,Zara,North,Product F,42,18356.83
2026-03-28,Ahmed,East,Product C,39,11675.87
2026-03-29,Fatima,East,Product D,84,17195.51
2026-03-29,Hamza,Central,Product D,23,5548.28
2026-03-29,Fatima,Central,Product F,24,8626.92
2026-03-30,Ahmed,South,Product E,45,17196.84
2026-03-30,Hamza,North,Product D,10,2152.82
2026-03-31,Usman,Central,Product D,11,2762.88
2026-03-31,Sara,North,Product F,22,9331.96
2026-03-31,Zara,West,Product D,70,14605.02
2026-03-31,Usman,East,Product F,93,34906.81
2026-03-31,Hamza,Central,Product C,33,10391.63
2026-03-31,Sara,East,Product A,30,8430.05
2026-03-31,Ali,West,Product D,76,17964.36
2026-03-31,Hina,Central,Product F,61,27445.65
2026-04-01,Fatima,North,Product A,23,5899.4
2026-04-01,Zara,South,Product F,21,7400.96
2026-04-01,Ali,Central,Product D,77,14563.57
2026-04-02,Ahmed,East,Product E,89,32939.69
2026-04-02,Hamza,Central,Product F,86,32566.98
2026-04-03,Fatima,Central,Product A,91,19395.35
2026-04-03,Ali,East,Product E,33,9919.04
2026-04-03,Ahmed,South,Product A,83,23058.48
2026-04-03,Zara,West,Product F,67,30571.2
2026-04-04,Ahmed,East,Product A,86,21211.96
2026-04-05,Hina,West,Product B,58,17217.87
2026-04-05,Ayesha,Central,Product C,29,7694.16
2026-04-06,Bilal,East,Product D,24,4542.88
2026-04-06,Zara,North,Product C,95,31559.36
2026-04-06,Usman,Central,Product A,78,19489.22
2026-04-06,Sara,Central,Product C,13,4430.48
2026-04-06,Fatima,West,Product E,11,4272.18
2026-04-06,Usman,West,Product A,99,25597.24
2026-04-07,Usman,Central,Product D,55,11192.12
2026-04-08,Usman,Central,Product F,98,39671.88
2026-04-08,Ali,East,Product D,91,20650.45
2026-04-08,Fatima,South,Product F,73,30411.63
2026-04-08,Hina,South,Product B,99,25574.94
2026-04-08,Bilal,West,Product D,43,10236.7
2026-04-09,Usman,East,Product C,13,4446.26
2026-04-09,Fatima,North,Product F,73,33149.69
2026-04-10,Fatima,Central,Product D,64,15218.11
2026-04-10,Hina,West,Product E,5,1624.58
2026-04-10,Bilal,West,Product B,92,22471.5
2026-04-10,Fatima,Central,Product C,14,4056.8
2026-04-12,Fatima,North,Product F,32,14617.37
2026-04-12,Usman,North,Product E,33,12061.55
2026-04-12,Ahmed,Central,Product B,88,21501.01
2026-04-12,Hamza,North,Product D,77,15068.78
2026-04-12,Hina,Central,Product D,54,10113.86
2026-04-13,Ali,East,Product C,70,20358.81
2026-04-13,Ahmed,Central,Product C,72,21611.63
2026-04-13,Sara,North,Product B,26,7581.81
2026-04-13,Zara,West,Product B,87,24301.95
2026-04-13,Ahmed,South,Product D,8,1686.55
2026-04-13,Fatima,North,Product C,72,19594.94
2026-04-14,Zara,West,Product B,86,25558.24
2026-04-14,Ayesha,North,Product B,61,18961.17
2026-04-15,Ahmed,Central,Product C,55,16927.86
2026-04-15,Fatima,North,Product D,52,10041.34
2026-04-15,Hamza,Central,Product C,75,22385.43
2026-04-17,Hina,East,Product D,38,9244.03
2026-04-18,Ahmed,West,Product A,17,3693.84
2026-04-18,Ayesha,Central,Product A,18,4596.35
2026-04-19,Ali,Central,Product E,26,8071.23
2026-04-19,Zara,East,Product B,88,24634.32
2026-04-19,Ahmed,East,Product C,46,12226.74
2026-04-20,Hamza,South,Product F,78,31913.34
2026-04-20,Fatima,West,Product B,33,10625.94
2026-04-20,Ayesha,East,Product F,13,5320.66
2026-04-20,Ayesha,Central,Product C,76,24141.81
2026-04-21,Fatima,South,Product A,96,22187.18
2026-04-22,Hina,East,Product F,71,31163.13
2026-04-22,Sara,North,Product B,20,5750.48
2026-04-22,Zara,East,Product B,100,29538.1
2026-04-22,Ali,South,Product E,42,13527.65
2026-04-22,Ahmed,Central,Product F,5,2154.25
2026-04-22,Hina,South,Product C,43,14668.67
2026-04-22,Hamza,West,Product C,12,3727.26
2026-04-23,Bilal,North,Product C,33,10011.7
2026-04-23,Ayesha,East,Product D,50,11054.46
2026-04-23,Usman,Central,Product A,5,1139.16
2026-04-24,Fatima,South,Product F,44,17180.1
2026-04-24,Ahmed,North,Product F,98,45049.04
2026-04-24,Usman,East,Product C,22,6955.57
2026-04-24,Zara,South,Product A,72,19616.06
2026-04-24,Ayesha,South,Product D,24,5208.69
2026-04-24,Ahmed,North,Product C,75,25434.62
2026-04-25,Hamza,West,Product B,70,21271.73
2026-04-25,Sara,East,Product E,52,16097.27
2026-04-26,Ayesha,South,Product A,10,2308.63
2026-04-26,Usman,Central,Product C,16,5218.58
2026-04-26,Bilal,South,Product D,12,2689.41
2026-04-26,Ahmed,East,Product D,89,17449.27
2026-04-27,Hamza,North,Product A,6,1385.05
2026-04-27,Fatima,East,Product F,42,17860.58
2026-04-28,Hamza,Central,Product F,50,17432.45
2026-04-28,Ayesha,Central,Product D,39,7412.85
2026-04-29,Hamza,West,Product B,29,8183.8
2026-04-29,Zara,South,Product B,92,22097.58
2026-04-30,Hamza,South,Product C,65,21863.25
2026-04-30,Fatima,South,Product E,5,1633.07
2026-04-30,Ahmed,North,Product B,89,22984.86
2026-04-30,Sara,South,Product A,68,15557.66
2026-04-30,Ayesha,East,Product B,98,30343.95
2026-05-01,Fatima,North,Product F,52,21077.47
2026-05-01,Sara,East,Product E,13,5096.16
2026-05-01,Hina,South,Product E,9,3001.49
2026-05-01,Hamza,West,Product D,30,5898.77
2026-05-01,Sara,West,Product D,78,16892.81
2026-05-01,Usman,East,Product A,26,7074.06
2026-05-01,Usman,North,Product E,36,12898.31
2026-05-01,Hina,East,Product A,55,15411.46
2026-05-02,Bilal,South,Product F,71,26023.28
2026-05-02,Hina,Central,Product C,100,32554.2
2026-05-02,Hamza,East,Product D,74,16652.9
2026-05-02,Ahmed,South,Product D,8,1590.7
2026-05-02,Fatima,West,Product C,32,9672.29
2026-05-03,Ali,South,Product A,60,13271.94
2026-05-03,Bilal,North,Product B,52,15404.93
2026-05-03,Zara,West,Product B,57,13774.98
2026-05-03,Bilal,West,Product B,90,26299.99
2026-05-03,Hamza,East,Product C,53,15739.01
2026-05-04,Zara,South,Product E,48,17695.7
2026-05-04,Ayesha,Central,Product C,11,2855.04
2026-05-04,Zara,South,Product D,44,10869.87
2026-05-04,Fatima,West,Product E,62,19601.07
2026-05-04,Ali,Central,Product D,89,18520.25
2026-05-04,Ayesha,Central,Product E,37,14174.61
2026-05-05,Usman,Central,Product D,72,13837.73
2026-05-05,Ali,Central,Product F,19,6894.99
2026-05-05,Hina,West,Product B,17,4184.42
2026-05-05,Fatima,West,Product F,63,28197.72
2026-05-05,Hina,Central,Product B,54,13716.61
2026-05-05,Ayesha,East,Product F,15,6276.72
2026-05-07,Usman,West,Product B,78,22707.5
2026-05-07,Ahmed,North,Product A,42,11902.96
2026-05-08,Zara,South,Product E,100,35610.49
2026-05-08,Sara,West,Product A,22,4875.4
2026-05-08,Ahmed,West,Product A,92,23818.65
2026-05-08,Ali,East,Product D,35,7576.96
2026-05-09,Hina,North,Product D,24,5522.14
2026-05-09,Ali,North,Product B,91,28048.07
2026-05-09,Ayesha,Central,Product C,21,6536.29
2026-05-09,Usman,North,Product A,96,22192.53
2026-05-10,Hina,North,Product A,56,13965.34
2026-05-11,Ahmed,North,Product C,30,9780.81
2026-05-12,Ali,North,Product E,27,10612.72
2026-05-13,Sara,East,Product A,54,11676.09
2026-05-13,Hamza,South,Product F,47,19671.01
2026-05-13,Fatima,North,Product A,54,13728.28
2026-05-13,Bilal,South,Product D,13,2852.9
2026-05-13,Ayesha,Central,Product F,71,28894.1
2026-05-13,Ahmed,East,Product B,100,30361.44
2026-05-14,Fatima,South,Product A,90,19923.02
2026-05-14,Fatima,West,Product F,99,37535.87
2026-05-15,Hina,Central,Product F,45,18523.64
2026-05-15,Hamza,South,Product E,18,7000.28
2026-05-15,Ayesha,East,Product D,83,17400.48
2026-05-16,Ayesha,South,Product B,36,11097.08
2026-05-16,Ali,North,Product E,60,20027.83
2026-05-16,Fatima,Central,Product F,55,22988.92
2026-05-16,Sara,North,Product B,64,17375.65
2026-05-17,Fatima,East,Product E,97,34692.26
2026-05-17,Usman,North,Product C,56,16593.35
2026-05-17,Ahmed,North,Product A,26,7070.63
2026-05-18,Usman,Central,Product A,92,19611.4
2026-05-18,Sara,North,Product C,59,16489.22
2026-05-19,Sara,South,Product A,28,6855.06
2026-05-20,Bilal,Central,Product B,96,25612.99
2026-05-20,Ahmed,East,Product D,42,9923.46
2026-05-21,Zara,Central,Product B,13,3674.0
2026-05-21,Sara,East,Product C,15,4326.99
2026-05-21,Hamza,East,Product A,69,18870.59
2026-05-21,Bilal,Central,Product E,77,24313.08
2026-05-21,Bilal,North,Product E,91,32262.69
2026-05-22,Hamza,North,Product E,29,8888.19
2026-05-22,Bilal,East,Product B,24,6754.86
2026-05-22,Usman,East,Product C,25,8131.65
2026-05-22,Ali,West,Product D,47,11878.46
2026-05-23,Ayesha,North,Product A,99,22418.91
2026-05-23,Fatima,Central,Product D,91,22909.79
2026-05-23,Ali,South,Product F,59,22468.97
2026-05-23,Hamza,East,Product B,43,13019.48
2026-05-23,Zara,South,Product D,76,19100.33
2026-05-24,Ahmed,Central,Product B,38,11385.47
2026-05-24,Ali,East,Product B,61,16796.62
2026-05-24,Ali,West,Product E,50,18900.92
2026-05-24,Ayesha,South,Product B,25,6710.67
2026-05-24,Zara,Central,Product B,46,14730.86
2026-05-24,Hina,Central,Product A,71,19826.3
2026-05-25,Ali,Central,Product C,70,22907.75
2026-05-25,Bilal,North,Product C,43,12925.89
2026-05-25,Bilal,South,Product F,61,26062.42
2026-05-25,Fatima,Central,Product E,21,7367.53
2026-05-26,Hamza,East,Product D,29,7056.56
2026-05-26,Sara,South,Product C,62,20861.61
2026-05-27,Hina,South,Product D,42,9553.61
2026-05-27,Ayesha,East,Product C,45,15091.76
2026-05-27,Ayesha,Central,Product C,33,10305.76
2026-05-28,Ali,East,Product F,19,7155.67
2026-05-29,Sara,West,Product A,46,10367.96
2026-05-29,Usman,South,Product B,48,11756.82
2026-05-29,Ahmed,West,Product E,70,21490.57
2026-05-29,Ayesha,North,Product A,8,1978.93
2026-05-30,Hamza,East,Product D,66,16611.95
2026-05-30,Bilal,Central,Product C,70,24058.58
2026-05-31,Hina,North,Product F,63,28395.58
2026-05-31,Hina,South,Product B,57,16450.89
2026-05-31,Ayesha,Central,Product E,65,26139.51
2026-05-31,Bilal,South,Product A,93,26199.48
2026-06-01,Ayesha,East,Product B,43,10285.1
2026-06-01,Bilal,West,Product A,17,4649.3
2026-06-01,Ali,West,Product C,6,1835.6
2026-06-02,Zara,Central,Product F,67,29736.7
2026-06-02,Hamza,Central,Product B,24,6465.81
2026-06-02,Zara,West,Product C,77,23938.72
2026-06-03,Bilal,Central,Product E,11,3732.65
2026-06-03,Hamza,East,Product F,57,21611.09
2026-06-03,Zara,East,Product D,96,24177.63
2026-06-03,Bilal,North,Product E,80,31189.6
2026-06-03,Sara,Central,Product D,77,19063.68
2026-06-04,Hina,Central,Product E,50,15257.62
2026-06-04,Hamza,West,Product D,80,17142.97
2026-06-04,Hina,Central,Product B,53,15656.99
2026-06-05,Zara,East,Product A,85,21078.9
2026-06-05,Zara,South,Product D,52,11754.68
2026-06-05,Usman,East,Product E,74,25851.79
2026-06-06,Bilal,West,Product D,49,10647.4
2026-06-07,Sara,South,Product E,35,11955.32
2026-06-07,Ahmed,West,Product F,69,31103.32
2026-06-07,Hina,North,Product A,55,13772.46
2026-06-08,Fatima,East,Product A,28,7776.71
2026-06-08,Fatima,South,Product C,26,6808.73
2026-06-08,Fatima,West,Product E,34,12987.81
2026-06-09,Fatima,South,Product F,98,33816.11
2026-06-09,Ahmed,North,Product D,69,15583.81
2026-06-10,Usman,Central,Product E,19,6420.96
2026-06-10,Usman,East,Product F,37,14241.9
2026-06-10,Ahmed,West,Product C,42,13487.83
2026-06-10,Usman,North,Product E,50,19939.33
2026-06-10,Ayesha,South,Product D,70,15246.69
2026-06-11,Hamza,East,Product C,57,18455.27
2026-06-11,Ali,East,Product E,70,24913.97
2026-06-11,Ali,South,Product E,23,8659.19
2026-06-11,Ali,North,Product F,31,11951.47
2026-06-11,Usman,South,Product A,45,10393.34
2026-06-11,Hamza,Central,Product A,31,7929.95
2026-06-12,Hina,West,Product C,83,26090.88
2026-06-12,Ahmed,West,Product E,58,19480.36
2026-06-12,Sara,West,Product D,92,20345.41
2026-06-12,Usman,West,Product D,60,13378.67
2026-06-13,Ayesha,East,Product C,57,14769.52
2026-06-13,Bilal,North,Product E,52,16121.93
2026-06-13,Fatima,West,Product B,52,14625.43
2026-06-13,Hamza,Central,Product B,46,12889.28
2026-06-13,Usman,West,Product C,61,19648.4
2026-06-13,Ahmed,North,Product F,90,37502.31
2026-06-14,Sara,North,Product E,89,27100.62
2026-06-14,Usman,North,Product D,37,8238.26
2026-06-14,Sara,North,Product C,89,25063.08
2026-06-15,Ayesha,East,Product E,41,15839.24
2026-06-15,Zara,North,Product F,83,36617.67
2026-06-15,Ali,North,Product F,47,17905.28
2026-06-15,Sara,West,Product E,5,1832.77
2026-06-15,Zara,North,Product A,90,21916.68
2026-06-16,Hamza,North,Product D,27,5597.92
2026-06-17,Ayesha,West,Product C,48,15528.51
2026-06-18,Hina,Central,Product B,31,9077.04
2026-06-18,Sara,Central,Product F,54,20201.27
2026-06-18,Ahmed,Central,Product A,87,22862.23
2026-06-18,Hina,East,Product D,88,22114.3
2026-06-18,Hamza,West,Product C,85,27173.19
2026-06-19,Fatima,East,Product E,42,14540.18
2026-06-19,Fatima,North,Product B,40,12344.88
2026-06-19,Sara,Central,Product B,40,11767.77
2026-06-19,Ahmed,West,Product F,37,15770.58
2026-06-19,Hina,West,Product D,50,11906.73
2026-06-19,Ayesha,North,Product F,65,29282.51
2026-06-19,Ayesha,North,Product A,90,19725.77
2026-06-20,Usman,South,Product C,25,8146.59
2026-06-21,Hina,North,Product C,31,8601.22
2026-06-21,Bilal,West,Product F,74,29815.95
2026-06-22,Ahmed,Central,Product E,61,24126.7
2026-06-22,Ali,West,Product C,28,8368.63
2026-06-22,Hamza,Central,Product B,77,23839.47
2026-06-23,Ali,Central,Product E,34,12215.73
2026-06-23,Ahmed,West,Product F,66,27443.35
2026-06-23,Sara,West,Product A,23,6188.41
2026-06-23,Usman,Central,Product B,78,22532.47
2026-06-23,Hamza,Central,Product F,92,39082.96
2026-06-23,Hina,West,Product A,87,19373.29
2026-06-24,Sara,Central,Product C,73,23957.38
2026-06-24,Ahmed,East,Product C,97,27566.86
2026-06-24,Fatima,North,Product B,63,16750.8
2026-06-24,Hina,Central,Product C,46,12323.24
2026-06-24,Ayesha,Central,Product D,60,13466.16
